2016-11-21 10:36:10.841 INFO  DefaultFactory Logging to 'H:\SampleApplications\NServiceBus\OrchestrationBus\OrchestrationBus.Assess\bin\Debug\' with level Info
2016-11-21 10:36:10.992 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired
2016-11-21 10:36:11.461 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PETSURE\kumars' to group 'Performance Monitor Users' because the user is already in group.
2016-11-21 10:36:11.504 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 10:36:11.513 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 10:36:11.521 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 10:41:45.229 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.TimeoutsDispatcher MessagePump' is now in the armed state
2016-11-21 10:41:46.703 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV MessagePump' is now in the armed state
2016-11-21 10:41:46.785 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Timeouts MessagePump' is now in the armed state
2016-11-21 10:41:46.783 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Retries MessagePump' is now in the armed state
2016-11-21 10:41:56.738 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.TimeoutsDispatcher MessagePump' is now disarmed
2016-11-21 10:41:56.821 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV MessagePump' is now disarmed
2016-11-21 10:41:56.972 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Timeouts MessagePump' is now disarmed
2016-11-21 10:41:57.003 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Retries MessagePump' is now disarmed
2016-11-21 10:48:36.811 INFO  DefaultFactory Logging to 'H:\SampleApplications\NServiceBus\OrchestrationBus\OrchestrationBus.Assess\bin\Debug\' with level Info
2016-11-21 10:48:36.993 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired
2016-11-21 10:48:37.449 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'PETSURE\kumars' to group 'Performance Monitor Users' because the user is already in group.
2016-11-21 10:48:37.491 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 10:48:37.499 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 10:48:37.511 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 10:49:09.984 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Timeouts MessagePump' is now in the armed state
2016-11-21 10:49:09.986 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Retries MessagePump' is now in the armed state
2016-11-21 10:49:10.168 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV MessagePump' is now in the armed state
2016-11-21 10:49:10.135 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.TimeoutsDispatcher MessagePump' is now in the armed state
2016-11-21 10:49:20.191 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Retries MessagePump' is now disarmed
2016-11-21 10:49:20.194 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Timeouts MessagePump' is now disarmed
2016-11-21 10:49:20.254 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV MessagePump' is now disarmed
2016-11-21 10:49:20.258 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.TimeoutsDispatcher MessagePump' is now disarmed
2016-11-21 10:59:10.436 INFO  DefaultFactory Logging to 'H:\SampleApplications\NServiceBus\OrchestrationBus\OrchestrationBus.Assess\bin\Debug\' with level Info
2016-11-21 10:59:10.608 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired
2016-11-21 10:59:10.766 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'PETSURE\kumars' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "PETSURE\kumars" /add
2016-11-21 10:59:10.852 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 10:59:10.852 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 10:59:10.868 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 11:46:32.126 INFO  DefaultFactory Logging to 'H:\SampleApplications\NServiceBus\OrchestrationBus\OrchestrationBus.Assess\bin\Debug\' with level Info
2016-11-21 11:46:32.304 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired
2016-11-21 11:46:32.565 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'PETSURE\kumars' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "PETSURE\kumars" /add
2016-11-21 11:46:32.597 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 11:46:32.603 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 11:46:32.634 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:21:47.905 INFO  DefaultFactory Logging to 'H:\SampleApplications\NServiceBus\OrchestrationBus\OrchestrationBus.Assess\bin\Debug\' with level Info
2016-11-21 17:21:48.134 INFO  NServiceBus.LicenseManager License expires on 21/12/2016 12:00:00 AM
2016-11-21 17:21:48.352 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'PETSURE\kumars' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "PETSURE\kumars" /add
2016-11-21 17:21:48.419 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:21:48.428 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:21:48.440 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:22:43.075 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Timeouts MessagePump' is now in the armed state
2016-11-21 17:22:43.078 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Retries MessagePump' is now in the armed state
2016-11-21 17:22:43.519 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV MessagePump' is now in the armed state
2016-11-21 17:22:43.088 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.TimeoutsDispatcher MessagePump' is now in the armed state
2016-11-21 17:25:54.121 INFO  DefaultFactory Logging to 'H:\SampleApplications\NServiceBus\OrchestrationBus\OrchestrationBus.Assess\bin\Debug\' with level Info
2016-11-21 17:25:54.536 INFO  NServiceBus.LicenseManager License expires on 21/12/2016 12:00:00 AM
2016-11-21 17:25:54.756 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'PETSURE\kumars' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "PETSURE\kumars" /add
2016-11-21 17:25:54.806 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:25:54.818 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:25:54.827 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:26:41.041 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Timeouts MessagePump' is now in the armed state
2016-11-21 17:26:41.079 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.TimeoutsDispatcher MessagePump' is now in the armed state
2016-11-21 17:26:41.368 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Retries MessagePump' is now in the armed state
2016-11-21 17:26:41.082 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV MessagePump' is now in the armed state
2016-11-21 17:26:52.632 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV MessagePump' is now disarmed
2016-11-21 17:26:52.682 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Timeouts MessagePump' is now disarmed
2016-11-21 17:26:53.107 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Retries MessagePump' is now disarmed
2016-11-21 17:26:53.112 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.TimeoutsDispatcher MessagePump' is now disarmed
2016-11-21 17:27:37.328 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV MessagePump' is now in the armed state
